text,first_frame
Free,300
400 450 450 450 450 45C,300
BASIC,300
75,300
250 250 300 350 400 40C,300
EPIC,300
775 800 1000 1050 1100 115,300
LEGENDARY,300
3 2500 2500 2700 2800 2900 300,300
%,300
30oo 3100 3100 3200 3200,300
SELL UNDO 500,300
0/0/0,600
Type {help for a list of commands,2700
00.51 Caesar (Sylas) has targered Isles - (Gragas),2700
00.51 Caesar (Sylas) has targered Isles - ((ragas),3000
philip,5400
21,6000
403,6000
00.51 Caesar (Sylas) has targered Isles (Gragas),6600
01.53 ASTROBOY99 (Naafiri) signals enemy has vision here,6600
RobbyBob,9000
27,9900
Type Thelp for list of commands,9900
02.50 philip (Ambessa) has drawn first bloodl,9900
02.54 Caesar (Sylas): Zed Ignice,10200
Type Thelp for a list of commands,10500
02.54 Caesar (Sylas): Zed Ignite,10500
Type Jhelp - for a list of commands,10800
00.51 Caesar (Sylas) has targeted Isles (Gragas),10800
03.03 TacricalO (Jhin) signals chat enemies are missing,10800
03.08 Caesar (Sylas) purchased Dark Seal,11100
12 1/0/0,12000
20 0/0/0,12000
23 0/0/0,12000
00.51 Caesar (Sylas) has targeted Isles - (Gragas),12000
01.53 ASTROBOY99 (Naafiri) signals enemy has vision he 2 0/0/0,12000
02.50 phillp (Ambessa) has drawn first bloodl,12000
03.24 ASTROBOY99 (Naafiri) is on che way,12000
03.26 ASTROBOY99 (Naafiri) signals chat enemies are missing,12000
00.51 Caesar (Sylas) has cargeced Isles (Gragas),12300
02.54 Caesar (Sylas): Zed Ignire,12600
03.32 TacricalO (Jhin) signals chat enemies are missing,12600
02.50 philip (Aubena) has drawn first bloodl,12900
02.54 Caesar (Sylas}: Zed Iznite,12900
03.03 TacricalO (Jhin) signals that enemies are missing,12900
03.32 TacticalO (Jhin) signals chat enemies are missing,12900
03.37 TacricalO (Jhin) signals to be caurious,12900
03.24 ASTROBOY99 (Naafiri) is on the way,13200
03.44 ASTROBOY99 (Naafiri) signals enemy has vision here,13200
03.46 ASTROBOY99 (Naafiri) on che way,13200
03.26 ASTROBOY99 (Naafiri) signals thar enemies are missing,13500
03.32 TaccicalO (hin) signals that enemies are missing,13500
03.37 Tacticall (Jhin) signals to be caurious,13500
03.50 ASTROBOY99 (Naafiri) signals enemy has vision here,13500
03.51 ASTROBOY99 (Naafiri) signals to be caurious,13500
03.37 TacticalO (Jhin) signals to be caurious,13800
03.46 ASTROBOY99 (Naafiri) on the way,13800
03.54 ASTROBOY99 (Naafiri) signals enemy has vision here,13800
03.55 Caesar (Sylas) asking for assistance,13800
03.56 ASTROBOY99 (Naafiri) is on che way,13800
03.46 ASTROBOY99 (Naafiri) is on the way,14100
03.58 ASTROBOY99 (Naafiri) is on che way,14100
04.01 TaccicalO (Jhin) on the way,14100
03.56 ASTROBOY99 (Naafiri) is on the way,14400
04.01 TacricalO (Jhin) on che way,14400
04.02 Wekin Poof (Alistar) is on che way,14400
04.02 ASTROBOY99 (Naafiri) signals to all in,14400
04.05 ASTROBOY99 (Naafiri) signals to be caurious,14400
04.05 Wekin Poof (Alisrar) signals chat enemies are missing,14400
04.01 TacticalO (Jhin) is on the way,14700
04.02 Wekin Poof (Alistar) on the way,14700
04.05 Wekin Poof (Alistar) signals that enemies are missing,14700
04.07 ASTROBOY99 (Naafiri) signals to be cautious,14700
04.01 TacticalO (Jhin) on che way,15000
04.02 ASTROBOY99 (Naafiri) signals o all in,15000
04.05 Wekin Poof (Alistar) signals chat enemies are missing,15000
04.02 Wekin Poof (Alistar) on che way,15300
04.07 ASTROBOY99 (Naafiri) signals to be caucious,15300
